date,datatype,station,attributes,value
2020-05-01T00:00:00,PRCP,GHCND:ARM00087938,",,S,",1.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087938,"H,,S,",5.1
2020-05-01T00:00:00,TMAX,GHCND:ARM00087938,",,S,",9.6
2020-05-01T00:00:00,TMIN,GHCND:ARM00087938,",,S,",3.5
2020-05-01T00:00:00,TAVG,GHCND:ASM00094299,"H,,S,",26.3
2020-05-01T00:00:00,TMAX,GHCND:ASM00094299,",,S,",29.3
2020-05-01T00:00:00,PRCP,GHCND:ASM00094995,",,S,",0.5
2020-05-01T00:00:00,TAVG,GHCND:ASM00094995,"H,,S,",20.1
2020-05-01T00:00:00,TMAX,GHCND:ASM00094995,",,S,",24.3
2020-05-01T00:00:00,TMIN,GHCND:ASM00094995,",,S,",19.0
2020-05-01T00:00:00,TAVG,GHCND:ASM00094998,"H,,S,",4.1
2020-05-01T00:00:00,PRCP,GHCND:ASN00001006,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00001006,",,a,",35.3
2020-05-01T00:00:00,TMIN,GHCND:ASN00001006,",,a,",24.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001007,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00001007,",,a,",34.5
2020-05-01T00:00:00,TMIN,GHCND:ASN00001007,",,a,",28.8
2020-05-01T00:00:00,PRCP,GHCND:ASN00001010,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001013,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001018,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00001018,",,a,",33.5
2020-05-01T00:00:00,TMIN,GHCND:ASN00001018,",,a,",14.5
2020-05-01T00:00:00,PRCP,GHCND:ASN00001019,",,a,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ASN00001019,"H,,S,",27.7
2020-05-01T00:00:00,TMAX,GHCND:ASN00001019,",,a,",35.4
2020-05-01T00:00:00,TMIN,GHCND:ASN00001019,",,a,",19.5
2020-05-01T00:00:00,PRCP,GHCND:ASN00001020,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00001020,",,a,",34.5
2020-05-01T00:00:00,TMIN,GHCND:ASN00001020,",,a,",23.5
2020-05-01T00:00:00,PRCP,GHCND:ASN00001023,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001024,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001025,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00001025,",,a,",33.8
2020-05-01T00:00:00,TMIN,GHCND:ASN00001025,",,a,",18.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001026,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001027,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001031,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00001035,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002005,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002009,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002012,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ASN00002012,"H,,S,",22.8
2020-05-01T00:00:00,TMAX,GHCND:ASN00002012,",,S,",29.8
2020-05-01T00:00:00,PRCP,GHCND:ASN00002013,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002020,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002021,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002022,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002023,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002026,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002029,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002030,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002032,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00002032,",,a,",32.0
2020-05-01T00:00:00,TMIN,GHCND:ASN00002032,",,a,",23.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002036,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002043,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002044,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002048,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002049,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002051,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002053,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002056,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00002056,",,a,",33.5
2020-05-01T00:00:00,TMIN,GHCND:ASN00002056,",,a,",24.4
2020-05-01T00:00:00,PRCP,GHCND:ASN00002060,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002061,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002064,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00002064,",,a,",32.4
2020-05-01T00:00:00,TMIN,GHCND:ASN00002064,",,a,",22.9
2020-05-01T00:00:00,PRCP,GHCND:ASN00002067,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00002069,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003001,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003003,",,a,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ASN00003003,"H,,S,",27.4
2020-05-01T00:00:00,TMAX,GHCND:ASN00003003,",,a,",33.9
2020-05-01T00:00:00,TMIN,GHCND:ASN00003003,",,a,",22.3
2020-05-01T00:00:00,PRCP,GHCND:ASN00003009,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003014,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003015,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003017,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003019,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003024,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003027,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003028,",,a,",0.0
2020-05-01T00:00:00,DATN,GHCND:ASN00003030,",,a,",2.0
2020-05-01T00:00:00,MDTN,GHCND:ASN00003030,",,a,",20.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003030,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003032,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00003032,",,a,",36.2
2020-05-01T00:00:00,TMIN,GHCND:ASN00003032,",,a,",21.7
2020-05-01T00:00:00,PRCP,GHCND:ASN00003040,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003041,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003043,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003051,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003052,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003057,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00003057,",,a,",31.6
2020-05-01T00:00:00,TMIN,GHCND:ASN00003057,",,a,",26.7
2020-05-01T00:00:00,PRCP,GHCND:ASN00003059,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003063,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003066,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003068,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003073,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003074,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003075,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003080,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00003080,",,a,",36.2
2020-05-01T00:00:00,TMIN,GHCND:ASN00003080,",,a,",21.9
2020-05-01T00:00:00,PRCP,GHCND:ASN00003084,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003086,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003088,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003090,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003093,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00003093,",,a,",34.8
